build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,exit
master,bench_spectralnorm_native,1,0.473566,5505024,5455872,0
v2026.9.4,bench_spectralnorm_native,1,0.484500,5160960,,0
master,bench_spectralnorm_native,2,0.490822,5521408,5472256,0
v2026.9.4,bench_spectralnorm_native,2,0.494495,5259264,,0
master,bench_spectralnorm_native,3,0.455107,5586944,5537792,0
v2026.9.4,bench_spectralnorm_native,3,0.492992,5144576,,0
master,bench_spectralnorm_native,4,0.494684,5521408,5472256,0
v2026.9.4,bench_spectralnorm_native,4,0.476656,5242880,,0
master,bench_spectralnorm_native,5,0.488108,5570560,5521408,0
v2026.9.4,bench_spectralnorm_native,5,0.490967,5242880,,0
master,bench_spectralnorm_native,6,0.461349,5472256,5423104,0
v2026.9.4,bench_spectralnorm_native,6,0.483383,5160960,,0
master,bench_spectralnorm_native,7,0.489539,5505024,5455872,0
v2026.9.4,bench_spectralnorm_native,7,0.495538,5292032,,0
master,bench_spectralnorm_native,8,0.495822,5521408,5472256,0
v2026.9.4,bench_spectralnorm_native,8,0.476593,5226496,,0
master,bench_spectralnorm_native,9,0.469832,5570560,5521408,0
v2026.9.4,bench_spectralnorm_native,9,0.482003,5242880,,0
master,bench_spectralnorm_native,10,0.482310,5488640,5439488,0
v2026.9.4,bench_spectralnorm_native,10,0.483859,5226496,,0
master,bench_spectralnorm_native,11,0.481899,5488640,5439488,0
v2026.9.4,bench_spectralnorm_native,11,0.482120,5242880,,0
master,bench_spectralnorm_native,12,0.490360,5505024,5455872,0
v2026.9.4,bench_spectralnorm_native,12,0.481821,5160960,,0
master,bench_spectralnorm_native,13,0.479226,5586944,5537792,0
v2026.9.4,bench_spectralnorm_native,13,0.492731,5193728,,0
master,bench_spectralnorm_native,14,0.498162,5505024,5455872,0
v2026.9.4,bench_spectralnorm_native,14,0.492611,5160960,,0
master,bench_spectralnorm_native,15,0.494585,5488640,5439488,0
v2026.9.4,bench_spectralnorm_native,15,0.505822,5210112,,0
master,bench_tco,1,0.144657,5472256,5423104,0
v2026.9.4,bench_tco,1,0.145823,5046272,,0
master,bench_tco,2,0.146221,5406720,5357568,0
v2026.9.4,bench_tco,2,0.142426,5128192,,0
master,bench_tco,3,0.144552,5455872,5406720,0
v2026.9.4,bench_tco,3,0.144510,5144576,,0
master,bench_tco,4,0.145997,5472256,5423104,0
v2026.9.4,bench_tco,4,0.145502,5079040,,0
master,bench_tco,5,0.144917,5406720,5357568,0
v2026.9.4,bench_tco,5,0.145055,5079040,,0
master,bench_tco,6,0.145709,5472256,5423104,0
v2026.9.4,bench_tco,6,0.145664,5128192,,0
master,bench_tco,7,0.144933,5439488,5390336,0
v2026.9.4,bench_tco,7,0.138145,5111808,,0
master,bench_tco,8,0.145829,5455872,5406720,0
v2026.9.4,bench_tco,8,0.145919,5046272,,0
master,bench_tco,9,0.145707,5406720,5357568,0
v2026.9.4,bench_tco,9,0.145580,5144576,,0
master,bench_tco,10,0.145977,5439488,5390336,0
v2026.9.4,bench_tco,10,0.144421,5111808,,0
master,bench_tco,11,0.143439,5406720,5357568,0
v2026.9.4,bench_tco,11,0.143739,5013504,,0
master,bench_tco,12,0.144713,5472256,5423104,0
v2026.9.4,bench_tco,12,0.145167,5079040,,0
master,bench_tco,13,0.144643,5390336,5341184,0
v2026.9.4,bench_tco,13,0.144553,5079040,,0
master,bench_tco,14,0.145176,5390336,5341184,0
v2026.9.4,bench_tco,14,0.145376,5046272,,0
master,bench_tco,15,0.145021,5455872,5406720,0
v2026.9.4,bench_tco,15,0.145166,5079040,,0
master,bench_matrix_multiply,1,0.188977,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,1,0.188056,11223040,,0
master,bench_matrix_multiply,2,0.265260,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,2,0.189083,11239424,,0
master,bench_matrix_multiply,3,0.192984,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,3,0.196998,11206656,,0
master,bench_matrix_multiply,4,0.197754,11567104,11517952,0
v2026.9.4,bench_matrix_multiply,4,0.188750,11173888,,0
master,bench_matrix_multiply,5,0.224437,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,5,0.224176,11223040,,0
master,bench_matrix_multiply,6,0.198020,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,6,0.188958,11223040,,0
master,bench_matrix_multiply,7,0.188502,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,7,0.271833,11190272,,0
master,bench_matrix_multiply,8,0.193038,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,8,0.189411,11173888,,0
master,bench_matrix_multiply,9,0.188266,11534336,11485184,0
v2026.9.4,bench_matrix_multiply,9,0.245379,11157504,,0
master,bench_matrix_multiply,10,0.193021,11534336,11485184,0
v2026.9.4,bench_matrix_multiply,10,0.222751,11173888,,0
master,bench_matrix_multiply,11,0.196971,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,11,0.190128,11157504,,0
master,bench_matrix_multiply,12,0.193679,11485184,11436032,0
v2026.9.4,bench_matrix_multiply,12,0.221922,11157504,,0
master,bench_matrix_multiply,13,0.240657,11583488,11534336,0
v2026.9.4,bench_matrix_multiply,13,0.229741,11223040,,0
master,bench_matrix_multiply,14,0.195346,11567104,11517952,0
v2026.9.4,bench_matrix_multiply,14,0.195410,11239424,,0
master,bench_matrix_multiply,15,0.190045,11583488,11534336,0
v2026.9.4,bench_matrix_multiply,15,0.231232,11223040,,0
master,bench_matrix_multiply,16,0.195109,11468800,11419648,0
v2026.9.4,bench_matrix_multiply,16,0.190910,11223040,,0
master,bench_matrix_multiply,17,0.196777,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,17,0.189938,11173888,,0
master,bench_matrix_multiply,18,0.211810,11616256,11567104,0
v2026.9.4,bench_matrix_multiply,18,0.189983,11190272,,0
master,bench_matrix_multiply,19,0.188697,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,19,0.249216,11190272,,0
master,bench_matrix_multiply,20,0.189181,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,20,0.190110,11157504,,0
master,bench_matrix_multiply,21,0.248000,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,21,0.260764,11173888,,0
master,bench_matrix_multiply,22,0.239149,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,22,0.273111,11173888,,0
master,bench_matrix_multiply,23,0.219899,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,23,0.200802,11239424,,0
master,bench_matrix_multiply,24,0.232890,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,24,0.192596,11190272,,0
master,bench_matrix_multiply,25,0.279761,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,25,0.211208,11190272,,0
master,bench_matrix_multiply,26,0.266135,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,26,0.189657,11157504,,0
master,bench_matrix_multiply,27,0.246867,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,27,0.312525,11223040,,0
master,bench_matrix_multiply,28,0.235162,11468800,11419648,0
v2026.9.4,bench_matrix_multiply,28,0.189148,11157504,,0
master,bench_matrix_multiply,29,0.237502,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,29,0.214887,11206656,,0
master,bench_matrix_multiply,30,0.196237,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,30,0.256899,11157504,,0
master,bench_matrix_multiply,31,0.327182,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,31,0.189384,11157504,,0
master,bench_matrix_multiply,32,0.193339,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,32,0.188309,11157504,,0
master,bench_matrix_multiply,33,0.193234,11567104,11517952,0
v2026.9.4,bench_matrix_multiply,33,0.202488,11157504,,0
master,bench_matrix_multiply,34,0.193310,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,34,0.247148,11206656,,0
master,bench_matrix_multiply,35,0.210297,11468800,11419648,0
v2026.9.4,bench_matrix_multiply,35,0.188919,11239424,,0
master,bench_matrix_multiply,36,0.237751,11567104,11517952,0
v2026.9.4,bench_matrix_multiply,36,0.261117,11206656,,0
master,bench_matrix_multiply,37,0.193860,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,37,0.188957,11190272,,0
master,bench_matrix_multiply,38,0.273015,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,38,0.190258,11173888,,0
master,bench_matrix_multiply,39,0.192511,11534336,11485184,0
v2026.9.4,bench_matrix_multiply,39,0.248875,11190272,,0
master,bench_matrix_multiply,40,0.193838,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,40,0.205277,11206656,,0
master,bench_matrix_multiply,41,0.221256,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,41,0.188792,11173888,,0
master,bench_matrix_multiply,42,0.199708,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,42,0.189323,11239424,,0
master,bench_matrix_multiply,43,0.193761,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,43,0.227595,11173888,,0
master,bench_matrix_multiply,44,0.201624,11567104,11517952,0
v2026.9.4,bench_matrix_multiply,44,0.288812,11223040,,0
master,bench_matrix_multiply,45,0.211248,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,45,0.190582,11272192,,0
master,bench_matrix_multiply,46,0.194412,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,46,0.244284,11239424,,0
master,bench_matrix_multiply,47,0.195729,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,47,0.219284,11223040,,0
master,bench_matrix_multiply,48,0.219717,11583488,11534336,0
v2026.9.4,bench_matrix_multiply,48,0.188785,11223040,,0
master,bench_matrix_multiply,49,0.209919,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,49,0.201346,11173888,,0
master,bench_matrix_multiply,50,0.208640,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,50,0.232918,11239424,,0
master,bench_matrix_multiply,51,0.193920,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,51,0.192144,11223040,,0
master,bench_matrix_multiply,52,0.281984,11550720,11501568,0
v2026.9.4,bench_matrix_multiply,52,0.189730,11190272,,0
master,bench_matrix_multiply,53,0.211575,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,53,0.192595,11157504,,0
master,bench_matrix_multiply,54,0.193064,11599872,11550720,0
v2026.9.4,bench_matrix_multiply,54,0.209201,11272192,,0
master,bench_matrix_multiply,55,0.324098,11599872,11550720,0
v2026.9.4,bench_matrix_multiply,55,0.217067,11239424,,0
master,bench_matrix_multiply,56,0.195482,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,56,0.188711,11157504,,0
master,bench_matrix_multiply,57,0.193811,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,57,0.215938,11272192,,0
master,bench_matrix_multiply,58,0.278854,11501568,11452416,0
v2026.9.4,bench_matrix_multiply,58,0.228904,11239424,,0
master,bench_matrix_multiply,59,0.194164,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,59,0.281008,11173888,,0
master,bench_matrix_multiply,60,0.219686,11517952,11468800,0
v2026.9.4,bench_matrix_multiply,60,0.188039,11190272,,0
