build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,gc_minor,gc_major,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
master,nbody,1,5.661984,5652480,5603328,0,0,0,0,0,0,0
v2026.9.4,nbody,1,5.651871,5341184,,,,,,,,0
master,nbody,2,5.661025,5603328,5554176,0,0,0,0,0,0,0
v2026.9.4,nbody,2,5.665063,5357568,,,,,,,,0
master,nbody,3,5.592254,5668864,5619712,0,0,0,0,0,0,0
v2026.9.4,nbody,3,5.637589,5292032,,,,,,,,0
master,nbody,4,5.615300,5668864,5619712,0,0,0,0,0,0,0
v2026.9.4,nbody,4,5.680549,5308416,,,,,,,,0
master,nbody,5,5.658847,5718016,5668864,0,0,0,0,0,0,0
v2026.9.4,nbody,5,5.650570,5308416,,,,,,,,0
master,nbody,6,5.662269,5701632,5652480,0,0,0,0,0,0,0
v2026.9.4,nbody,6,5.659002,5292032,,,,,,,,0
master,nbody,7,5.675241,5750784,5701632,0,0,0,0,0,0,0
v2026.9.4,nbody,7,5.646112,5341184,,,,,,,,0
master,nbody,8,5.624162,5668864,5619712,0,0,0,0,0,0,0
v2026.9.4,nbody,8,5.642264,5324800,,,,,,,,0
master,nbody,9,5.648649,5668864,5619712,0,0,0,0,0,0,0
v2026.9.4,nbody,9,5.629038,5341184,,,,,,,,0
master,nbody,10,5.610871,5668864,5619712,0,0,0,0,0,0,0
v2026.9.4,nbody,10,5.674056,5341184,,,,,,,,0
master,nbody,11,5.662389,5685248,5636096,0,0,0,0,0,0,0
v2026.9.4,nbody,11,5.648765,5308416,,,,,,,,0
master,nbody,12,5.669789,5685248,5636096,0,0,0,0,0,0,0
v2026.9.4,nbody,12,5.658475,5308416,,,,,,,,0
master,nbody,13,5.668310,5718016,5668864,0,0,0,0,0,0,0
v2026.9.4,nbody,13,5.665094,5341184,,,,,,,,0
master,nbody,14,5.609519,5668864,5619712,0,0,0,0,0,0,0
v2026.9.4,nbody,14,5.682564,5390336,,,,,,,,0
master,nbody,15,5.695689,5636096,5586944,0,0,0,0,0,0,0
v2026.9.4,nbody,15,5.689431,5341184,,,,,,,,0
master,binarytrees,1,2.009652,208879616,208879616,20,9,31909904,7336,25112,48739,0
v2026.9.4,binarytrees,1,2.076557,213778432,,,,,,,,0
master,binarytrees,2,2.011445,206897152,206897152,20,9,31909904,7555,25372,47490,0
v2026.9.4,binarytrees,2,2.084144,215728128,,,,,,,,0
master,binarytrees,3,2.009965,206913536,206913536,20,9,31909904,7425,25098,48846,0
v2026.9.4,binarytrees,3,2.068874,213794816,,,,,,,,0
master,binarytrees,4,2.017752,208797696,208797696,20,9,31909904,7437,25572,48563,0
v2026.9.4,binarytrees,4,2.071043,213762048,,,,,,,,0
master,binarytrees,5,2.013690,206913536,206913536,20,9,31909904,7499,25591,49229,0
v2026.9.4,binarytrees,5,2.066609,215465984,,,,,,,,0
master,binarytrees,6,2.010192,206897152,206897152,20,9,31909904,7246,25101,48527,0
v2026.9.4,binarytrees,6,2.069549,213794816,,,,,,,,0
master,binarytrees,7,2.015983,206897152,206897152,20,9,31909904,7582,25067,48686,0
v2026.9.4,binarytrees,7,2.086770,213696512,,,,,,,,0
master,binarytrees,8,2.011169,206979072,206979072,20,9,31909904,7265,25394,48118,0
v2026.9.4,binarytrees,8,2.076493,213778432,,,,,,,,0
master,binarytrees,9,2.023439,208896000,208896000,20,9,31909904,7598,25661,49209,0
v2026.9.4,binarytrees,9,2.076713,213794816,,,,,,,,0
master,binarytrees,10,2.017953,206946304,206946304,20,9,31909904,7455,26413,50263,0
v2026.9.4,binarytrees,10,2.076697,215711744,,,,,,,,0
master,binarytrees,11,2.016623,206848000,206848000,20,9,31909904,7464,25213,48844,0
v2026.9.4,binarytrees,11,2.074215,213778432,,,,,,,,0
master,binarytrees,12,2.019294,208879616,208879616,20,9,31909904,7799,24761,49693,0
v2026.9.4,binarytrees,12,2.085235,213762048,,,,,,,,0
master,binarytrees,13,2.013700,206864384,206864384,20,9,31909904,7381,25082,49295,0
v2026.9.4,binarytrees,13,2.081654,215711744,,,,,,,,0
master,binarytrees,14,2.029718,206929920,206929920,20,9,31909904,7488,25806,49003,0
v2026.9.4,binarytrees,14,2.090099,213745664,,,,,,,,0
master,binarytrees,15,2.029068,208814080,208814080,20,9,31909904,7572,25584,49454,0
v2026.9.4,binarytrees,15,2.073609,213762048,,,,,,,,0
master,spectralnorm,1,2.905773,6602752,6553600,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,1,2.885347,6307840,,,,,,,,0
master,spectralnorm,2,2.867195,6569984,6520832,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,2,2.902805,6275072,,,,,,,,0
master,spectralnorm,3,2.883463,6569984,6520832,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,3,2.902087,6307840,,,,,,,,0
master,spectralnorm,4,2.875391,6619136,6569984,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,4,2.888009,6340608,,,,,,,,0
master,spectralnorm,5,2.885310,6586368,6537216,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,5,2.817648,6258688,,,,,,,,0
master,spectralnorm,6,2.901914,6668288,6619136,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,6,2.894251,6258688,,,,,,,,0
master,spectralnorm,7,2.867419,6651904,6602752,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,7,2.889057,6275072,,,,,,,,0
master,spectralnorm,8,2.909704,6750208,6701056,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,8,2.910576,6291456,,,,,,,,0
master,spectralnorm,9,2.871591,6586368,6537216,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,9,2.889307,6291456,,,,,,,,0
master,spectralnorm,10,2.842672,6668288,6619136,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,10,2.877911,6356992,,,,,,,,0
master,spectralnorm,11,2.942777,6651904,6602752,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,11,2.955710,6307840,,,,,,,,0
master,spectralnorm,12,2.919990,6684672,6635520,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,12,2.885946,6275072,,,,,,,,0
master,spectralnorm,13,2.891818,6586368,6537216,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,13,2.891383,6356992,,,,,,,,0
