benchmark,nursery,run,wall_s,peak_rss_bytes,peak_rss_time_l,gc_minor,gc_major,gc_promoted_objects,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
binarytrees,16m,1,2.708583,106053632,106053632,171,27,3053202,170979296,1723,23809,50445,0
binarytrees,16m,2,2.718200,104202240,104202240,171,27,3053202,170979296,1765,23613,50220,0
binarytrees,16m,3,2.715863,104153088,104153088,171,27,3053202,170979296,1865,23969,49563,0
binarytrees,16m,4,2.742875,106184704,106184704,171,27,3053202,170979296,1787,24098,50512,0
binarytrees,16m,5,2.732424,104202240,104202240,171,27,3053202,170979296,1794,24755,50826,0
binarytrees,16m,6,2.735144,106168320,106168320,171,27,3053202,170979296,1838,24592,49906,0
binarytrees,16m,7,2.754039,104185856,104185856,171,27,3053202,170979296,1836,24099,51094,0
binarytrees,16m,8,2.748852,106168320,106168320,171,27,3053202,170979296,1795,24895,51061,0
binarytrees,16m,9,2.768047,105988096,105988096,171,27,3053202,170979296,1805,24923,50010,0
binarytrees,16m,10,2.756321,106217472,106217472,171,27,3053202,170979296,1850,24605,50164,0
binarytrees,16m,11,2.741334,104235008,104235008,171,27,3053202,170979296,1760,23716,50336,0
binarytrees,16m,12,2.769359,106168320,106168320,171,27,3053202,170979296,1815,25716,51238,0
binarytrees,16m,13,2.758257,104202240,104202240,171,27,3053202,170979296,1839,24191,50664,0
binarytrees,16m,14,2.761624,106217472,106217472,171,27,3053202,170979296,1797,23935,50665,0
binarytrees,16m,15,2.743519,104284160,104284160,171,27,3053202,170979296,1760,23683,50819,0
binarytrees,32m,1,2.408885,109363200,109363200,84,15,1496580,83808464,3314,27758,43032,0
binarytrees,32m,2,2.413294,107347968,107347968,84,15,1496580,83808464,3328,29031,43212,0
binarytrees,32m,3,2.431658,107331584,107331584,84,15,1496580,83808464,3494,28989,43643,0
binarytrees,32m,4,2.411836,109363200,109363200,84,15,1496580,83808464,3323,28415,40961,0
binarytrees,32m,5,2.426833,107331584,107331584,84,15,1496580,83808464,3510,28880,42653,0
binarytrees,32m,6,2.402950,109363200,109363200,84,15,1496580,83808464,3232,28717,43285,0
binarytrees,32m,7,2.400980,107397120,107397120,84,15,1496580,83808464,3206,28558,43377,0
binarytrees,32m,8,2.401201,107331584,107331584,84,15,1496580,83808464,3320,28456,42283,0
binarytrees,32m,9,2.425099,109363200,109363200,84,15,1496580,83808464,3324,28558,45208,0
binarytrees,32m,10,2.421372,107364352,107364352,84,15,1496580,83808464,3464,29154,43034,0
binarytrees,32m,11,2.436272,109346816,109346816,84,15,1496580,83808464,3444,27939,44231,0
binarytrees,32m,12,2.428032,107397120,107397120,84,15,1496580,83808464,3301,28197,43117,0
binarytrees,32m,13,2.427783,107380736,107380736,84,15,1496580,83808464,3379,29478,45255,0
binarytrees,32m,14,2.424115,109395968,109395968,84,15,1496580,83808464,3408,28649,42708,0
binarytrees,32m,15,2.432110,107413504,107413504,84,15,1496580,83808464,3459,30808,43633,0
binarytrees,64m,1,2.177813,152698880,152698880,40,10,867183,48562232,5206,27224,72040,0
binarytrees,64m,2,2.223489,155402240,155402240,40,10,867183,48562232,4923,27556,84598,0
binarytrees,64m,3,2.156340,152731648,152731648,40,10,867183,48562232,4689,25645,60507,0
binarytrees,64m,4,2.149385,154746880,154746880,40,10,867183,48562232,4650,25374,59777,0
binarytrees,64m,5,2.148509,152616960,152616960,40,10,867183,48562232,4487,26171,60618,0
binarytrees,64m,6,2.171085,152682496,152682496,40,10,867183,48562232,4783,26320,65550,0
binarytrees,64m,7,2.148918,154697728,154697728,40,10,867183,48562232,4803,25642,61928,0
binarytrees,64m,8,2.163860,152649728,152649728,40,10,867183,48562232,4838,27024,61204,0
binarytrees,64m,9,2.157526,152764416,152764416,40,10,867183,48562232,4630,25893,62127,0
binarytrees,64m,10,2.163215,154730496,154730496,40,10,867183,48562232,4825,25767,62597,0
binarytrees,64m,11,2.164361,152682496,152682496,40,10,867183,48562232,4757,25953,61607,0
binarytrees,64m,12,2.164265,152649728,152649728,40,10,867183,48562232,4646,26489,61770,0
binarytrees,64m,13,2.159174,154697728,154697728,40,10,867183,48562232,4826,25877,61539,0
binarytrees,64m,14,2.154442,152633344,152633344,40,10,867183,48562232,4744,26243,61198,0
binarytrees,64m,15,2.149801,152698880,152698880,40,10,867183,48562232,4571,25562,59846,0
binarytrees,128m,1,2.025033,206864384,206864384,20,9,569820,31909904,7886,26302,49756,0
binarytrees,128m,2,2.029206,208814080,208814080,20,9,569820,31909904,7664,26215,51454,0
binarytrees,128m,3,2.029733,206897152,206897152,20,9,569820,31909904,7876,25801,49806,0
binarytrees,128m,4,2.024162,206864384,206864384,20,9,569820,31909904,7875,25735,50566,0
binarytrees,128m,5,2.024212,208994304,208994304,20,9,569820,31909904,7702,25579,49252,0
binarytrees,128m,6,2.025418,206897152,206897152,20,9,569820,31909904,7544,26285,49443,0
binarytrees,128m,7,2.025217,206897152,206897152,20,9,569820,31909904,7709,25631,50006,0
binarytrees,128m,8,2.033523,208863232,208863232,20,9,569820,31909904,7797,29569,52497,0
binarytrees,128m,9,2.041392,206897152,206897152,20,9,569820,31909904,8249,25757,50745,0
binarytrees,128m,10,2.040053,206946304,206946304,20,9,569820,31909904,7970,26149,51988,0
binarytrees,128m,11,2.027180,208814080,208814080,20,9,569820,31909904,7874,25537,49591,0
binarytrees,128m,12,2.032051,206798848,206798848,20,9,569820,31909904,7597,26239,52591,0
binarytrees,128m,13,2.027069,206962688,206962688,20,9,569820,31909904,7869,25978,50207,0
binarytrees,128m,14,2.028215,208846848,208846848,20,9,569820,31909904,7840,26292,48685,0
binarytrees,128m,15,2.028170,206897152,206897152,20,9,569820,31909904,7781,25646,48423,0
bench_gc_churn,16m,1,0.162559,22282240,22282240,28,0,70,3360,658,664,670,0
bench_gc_churn,16m,2,0.162403,22315008,22315008,28,0,70,3360,659,669,680,0
bench_gc_churn,16m,3,0.162654,22265856,22265856,28,0,70,3360,657,666,686,0
bench_gc_churn,16m,4,0.162608,22315008,22315008,28,0,70,3360,660,667,669,0
bench_gc_churn,16m,5,0.162392,22249472,22249472,28,0,70,3360,656,673,677,0
bench_gc_churn,16m,6,0.161852,22298624,22298624,28,0,70,3360,660,667,674,0
bench_gc_churn,16m,7,0.162039,22249472,22249472,28,0,70,3360,654,664,682,0
bench_gc_churn,16m,8,0.162348,22265856,22265856,28,0,70,3360,655,663,678,0
bench_gc_churn,16m,9,0.162255,22216704,22216704,28,0,70,3360,656,671,672,0
bench_gc_churn,16m,10,0.162275,22298624,22298624,28,0,70,3360,650,663,671,0
bench_gc_churn,16m,11,0.163261,22265856,22265856,28,0,70,3360,661,664,669,0
bench_gc_churn,16m,12,0.162854,22265856,22265856,28,0,70,3360,658,664,667,0
bench_gc_churn,16m,13,0.162380,22249472,22249472,28,0,70,3360,659,667,691,0
bench_gc_churn,16m,14,0.162139,22249472,22249472,28,0,70,3360,652,662,666,0
bench_gc_churn,16m,15,0.162612,22282240,22282240,28,0,70,3360,660,665,677,0
bench_gc_churn,32m,1,0.162350,39026688,39026688,14,0,28,1344,1241,1281,1298,0
bench_gc_churn,32m,2,0.165300,39026688,39026688,14,0,28,1344,1240,1281,1289,0
bench_gc_churn,32m,3,0.163284,39092224,39092224,14,0,28,1344,1274,1289,1305,0
bench_gc_churn,32m,4,0.162674,39010304,39026688,14,0,28,1344,1275,1282,1283,0
bench_gc_churn,32m,5,0.162052,39108608,39108608,14,0,28,1344,1228,1284,1287,0
bench_gc_churn,32m,6,0.163437,39010304,39010304,14,0,28,1344,1246,1281,1283,0
bench_gc_churn,32m,7,0.163395,39075840,39075840,14,0,28,1344,1260,1283,1284,0
bench_gc_churn,32m,8,0.163487,39059456,39059456,14,0,28,1344,1261,1302,1386,0
bench_gc_churn,32m,9,0.163626,39026688,39026688,14,0,28,1344,1260,1283,1289,0
bench_gc_churn,32m,10,0.162554,39010304,39010304,14,0,28,1344,1252,1289,1291,0
bench_gc_churn,32m,11,0.163022,39010304,39010304,14,0,28,1344,1243,1281,1287,0
bench_gc_churn,32m,12,0.162941,39059456,39059456,14,0,28,1344,1236,1285,1290,0
bench_gc_churn,32m,13,0.163368,39059456,39059456,14,0,28,1344,1267,1282,1286,0
bench_gc_churn,32m,14,0.163407,39075840,39075840,14,0,28,1344,1250,1286,1288,0
bench_gc_churn,32m,15,0.163450,39043072,39043072,14,0,28,1344,1259,1284,1302,0
bench_gc_churn,64m,1,0.164429,72581120,72581120,7,0,17,816,2416,2517,2524,0
bench_gc_churn,64m,2,0.164717,72564736,72564736,7,0,17,816,2411,2518,2523,0
bench_gc_churn,64m,3,0.164800,72597504,72597504,7,0,17,816,2401,2549,2580,0
bench_gc_churn,64m,4,0.164386,72531968,72531968,7,0,17,816,2510,2554,2560,0
bench_gc_churn,64m,5,0.165430,72597504,72597504,7,0,17,816,2436,2520,2531,0
bench_gc_churn,64m,6,0.164644,72581120,72581120,7,0,17,816,2397,2525,2530,0
bench_gc_churn,64m,7,0.165095,72613888,72613888,7,0,17,816,2372,2406,2431,0
bench_gc_churn,64m,8,0.165160,72581120,72581120,7,0,17,816,2408,2518,2525,0
bench_gc_churn,64m,9,0.164678,72564736,72564736,7,0,17,816,2426,2531,2553,0
bench_gc_churn,64m,10,0.163971,72597504,72597504,7,0,17,816,2428,2513,2514,0
bench_gc_churn,64m,11,0.164494,72581120,72581120,7,0,17,816,2511,2520,2521,0
bench_gc_churn,64m,12,0.163405,72597504,72597504,7,0,17,816,2390,2407,2511,0
bench_gc_churn,64m,13,0.163971,72581120,72581120,7,0,17,816,2401,2411,2503,0
bench_gc_churn,64m,14,0.164533,72597504,72597504,7,0,17,816,2503,2520,2523,0
bench_gc_churn,64m,15,0.164002,72613888,72613888,7,0,17,816,2387,2403,2525,0
bench_gc_churn,128m,1,0.181765,139689984,139689984,3,0,6,288,4617,4617,4620,0
bench_gc_churn,128m,2,0.164313,139673600,139673600,3,0,6,288,4759,4759,4834,0
bench_gc_churn,128m,3,0.165236,139689984,139689984,3,0,6,288,4985,4985,4990,0
bench_gc_churn,128m,4,0.170392,139689984,139689984,3,0,6,288,5266,5266,5282,0
bench_gc_churn,128m,5,0.169314,139624448,139624448,3,0,6,288,5114,5114,5178,0
bench_gc_churn,128m,6,0.168072,139689984,139706368,3,0,6,288,4957,4957,5030,0
bench_gc_churn,128m,7,0.166469,139706368,139706368,3,0,6,288,4794,4794,4982,0
bench_gc_churn,128m,8,0.165319,139673600,139673600,3,0,6,288,4693,4693,4836,0
bench_gc_churn,128m,9,0.164718,139689984,139689984,3,0,6,288,4649,4649,4669,0
bench_gc_churn,128m,10,0.165922,139673600,139673600,3,0,6,288,4652,4652,5010,0
bench_gc_churn,128m,11,0.164255,139624448,139624448,3,0,6,288,4982,4982,4986,0
bench_gc_churn,128m,12,0.165694,139640832,139640832,3,0,6,288,4871,4871,5017,0
bench_gc_churn,128m,13,0.165317,139673600,139673600,3,0,6,288,4730,4730,4742,0
bench_gc_churn,128m,14,0.166403,139689984,139689984,3,0,6,288,4742,4742,4991,0
bench_gc_churn,128m,15,0.165699,139673600,139673600,3,0,6,288,4728,4728,4889,0
bench_gc_large_heap,16m,1,0.093364,95223808,95272960,2,0,524289,29360184,30618,30618,33040,0
bench_gc_large_heap,16m,2,0.094013,95240192,95289344,2,0,524289,29360184,30622,30622,33706,0
bench_gc_large_heap,16m,3,0.093180,95272960,95322112,2,0,524289,29360184,30912,30912,32751,0
bench_gc_large_heap,16m,4,0.092376,95256576,95305728,2,0,524289,29360184,29951,29951,33158,0
bench_gc_large_heap,16m,5,0.092552,95240192,95289344,2,0,524289,29360184,30817,30817,32392,0
bench_gc_large_heap,16m,6,0.093120,95256576,95305728,2,0,524289,29360184,30443,30443,33332,0
bench_gc_large_heap,16m,7,0.092999,95207424,95256576,2,0,524289,29360184,30668,30668,32453,0
bench_gc_large_heap,16m,8,0.094682,95240192,95289344,2,0,524289,29360184,31086,31086,33595,0
bench_gc_large_heap,16m,9,0.094062,95223808,95272960,2,0,524289,29360184,30805,30805,33033,0
bench_gc_large_heap,16m,10,0.094615,95223808,95272960,2,0,524289,29360184,31027,31027,33093,0
bench_gc_large_heap,16m,11,0.093217,95223808,95272960,2,0,524289,29360184,30895,30895,32643,0
bench_gc_large_heap,16m,12,0.094493,95223808,95272960,2,0,524289,29360184,30639,30639,33198,0
bench_gc_large_heap,16m,13,0.094122,95256576,95305728,2,0,524289,29360184,30791,30791,33192,0
bench_gc_large_heap,16m,14,0.094163,95272960,95322112,2,0,524289,29360184,30368,30368,34090,0
bench_gc_large_heap,16m,15,0.092131,95272960,95322112,2,0,524289,29360184,30086,30086,32789,0
bench_gc_large_heap,32m,1,0.092218,117997568,118046720,1,0,524289,29360184,61384,61384,61384,0
bench_gc_large_heap,32m,2,0.094596,117981184,118030336,1,0,524289,29360184,63280,63280,63280,0
bench_gc_large_heap,32m,3,0.092733,117981184,118030336,1,0,524289,29360184,61586,61586,61586,0
bench_gc_large_heap,32m,4,0.094910,117981184,118030336,1,0,524289,29360184,63320,63320,63320,0
bench_gc_large_heap,32m,5,0.092787,117981184,118030336,1,0,524289,29360184,62102,62102,62102,0
bench_gc_large_heap,32m,6,0.092973,118013952,118063104,1,0,524289,29360184,62814,62814,62814,0
bench_gc_large_heap,32m,7,0.093277,118013952,118063104,1,0,524289,29360184,62309,62309,62309,0
bench_gc_large_heap,32m,8,0.093851,118030336,118079488,1,0,524289,29360184,63323,63323,63323,0
bench_gc_large_heap,32m,9,0.092791,118030336,118079488,1,0,524289,29360184,62281,62281,62281,0
bench_gc_large_heap,32m,10,0.094416,118030336,118079488,1,0,524289,29360184,64171,64171,64171,0
bench_gc_large_heap,32m,11,0.092086,117997568,118046720,1,0,524289,29360184,62039,62039,62039,0
bench_gc_large_heap,32m,12,0.092146,117997568,118046720,1,0,524289,29360184,61917,61917,61917,0
bench_gc_large_heap,32m,13,0.093172,117964800,118013952,1,0,524289,29360184,62809,62809,62809,0
bench_gc_large_heap,32m,14,0.093151,117981184,118030336,1,0,524289,29360184,62784,62784,62784,0
bench_gc_large_heap,32m,15,0.093748,117981184,118030336,1,0,524289,29360184,62654,62654,62654,0
bench_gc_large_heap,64m,1,0.022873,40435712,40484864,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,2,0.022483,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,3,0.022523,40386560,40435712,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,4,0.023101,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,5,0.022622,40419328,40468480,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,6,0.022484,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,7,0.022513,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,8,0.022312,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,9,0.022562,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,10,0.022323,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,11,0.022373,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,12,0.022735,40419328,40468480,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,13,0.022444,40402944,40452096,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,14,0.022496,40435712,40484864,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,15,0.022368,40370176,40419328,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,1,0.022386,40386560,40435712,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,2,0.022321,40402944,40452096,0,0,0,0,0,0,0,0
