benchmark,nursery,run,wall_s,peak_rss_bytes,peak_rss_source,peak_rss_vm,gc_minor,gc_major,gc_promoted_objects,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
binarytrees,16m,1,3.665737,91561984,gnu_time,91561984,170,28,3576009,200256488,3062,49782,68124,0
binarytrees,16m,2,3.566369,91848704,gnu_time,91848704,170,28,3576009,200256488,3176,45417,61542,0
binarytrees,16m,3,3.491251,92622848,gnu_time,92622848,170,28,3576009,200256488,3163,40895,58984,0
binarytrees,16m,4,3.564955,92119040,gnu_time,92119040,170,28,3576009,200256488,3151,44430,64411,0
binarytrees,16m,5,3.459520,90771456,gnu_time,90771456,170,28,3576009,200256488,2954,42899,66961,0
binarytrees,16m,6,3.264290,90853376,gnu_time,90853376,170,28,3576009,200256488,2956,42751,56448,0
binarytrees,16m,7,3.394962,92069888,gnu_time,92069888,170,28,3576009,200256488,3066,41486,58121,0
binarytrees,16m,8,3.276440,91140096,gnu_time,91140096,170,28,3576009,200256488,2994,41872,56662,0
binarytrees,16m,9,3.177915,91996160,gnu_time,91996160,170,28,3576009,200256488,2956,35576,56362,0
binarytrees,16m,10,3.283629,91164672,gnu_time,91164672,170,28,3576009,200256488,3010,40695,57378,0
binarytrees,16m,11,3.542784,91705344,gnu_time,91705344,170,28,3576009,200256488,2992,40201,55933,0
binarytrees,16m,12,3.815571,91111424,gnu_time,91111424,170,28,3576009,200256488,3137,47211,73907,0
binarytrees,16m,13,3.706304,92684288,gnu_time,92684288,170,28,3576009,200256488,3343,41320,60324,0
binarytrees,16m,14,3.550492,91398144,gnu_time,91398144,170,28,3576009,200256488,3189,45629,69742,0
binarytrees,16m,15,3.548943,92487680,gnu_time,92487680,170,28,3576009,200256488,3165,45674,96445,0
binarytrees,32m,1,2.885289,110563328,gnu_time,110563328,83,16,1713819,95973848,4121,42277,68232,0
binarytrees,32m,2,2.818309,109932544,gnu_time,109932544,83,16,1713819,95973848,4160,45220,74333,0
binarytrees,32m,3,2.759407,109973504,gnu_time,109973504,83,16,1713819,95973848,4095,43593,76537,0
binarytrees,32m,4,2.833640,110735360,gnu_time,110735360,83,16,1713819,95973848,4725,43798,73888,0
binarytrees,32m,5,2.644935,110358528,gnu_time,110358528,83,16,1713819,95973848,3851,42618,68072,0
binarytrees,32m,6,2.582525,110465024,gnu_time,110465024,83,16,1713819,95973848,3873,41951,74951,0
binarytrees,32m,7,2.786463,108687360,gnu_time,108687360,83,16,1713819,95973848,3791,50372,69807,0
binarytrees,32m,8,2.597176,109731840,gnu_time,109731840,83,16,1713819,95973848,3868,37802,70596,0
binarytrees,32m,9,2.527899,109338624,gnu_time,109338624,83,16,1713819,95973848,3568,39382,63874,0
binarytrees,32m,10,2.519524,110243840,gnu_time,110243840,83,16,1713819,95973848,3615,36376,62710,0
binarytrees,32m,11,2.568038,110100480,gnu_time,110100480,83,16,1713819,95973848,3784,40130,72028,0
binarytrees,32m,12,2.656199,111132672,gnu_time,111132672,83,16,1713819,95973848,3979,46898,74060,0
binarytrees,32m,13,2.754323,110112768,gnu_time,110112768,83,16,1713819,95973848,3871,37664,64428,0
