benchmark,nursery,run,wall_s,peak_rss_bytes,peak_rss_source,peak_rss_vm,gc_minor,gc_major,gc_promoted_objects,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
binarytrees,16m,1,6.819305,91086848,win_psapi,91086848,176,22,2894902,162114496,12001,112626,193696,0
binarytrees,16m,2,6.468142,90415104,win_psapi,90415104,176,22,2894902,162114496,11505,102154,164317,0
binarytrees,16m,3,6.763292,90763264,win_psapi,90763264,176,22,2894902,162114496,11800,106680,166204,0
binarytrees,16m,4,6.791307,91054080,win_psapi,91054080,176,22,2894902,162114496,11675,111740,178529,0
binarytrees,16m,5,7.746459,90451968,win_psapi,90451968,176,22,2894902,162114496,13051,121655,198146,0
binarytrees,16m,6,6.362624,90529792,win_psapi,90529792,176,22,2894902,162114496,12169,94408,140662,0
binarytrees,16m,7,6.861186,91222016,win_psapi,91222016,176,22,2894902,162114496,12889,105713,172746,0
binarytrees,16m,8,7.222498,91222016,win_psapi,91222016,176,22,2894902,162114496,12945,110368,176006,0
binarytrees,16m,9,6.611852,91111424,win_psapi,91111424,176,22,2894902,162114496,12490,99344,148634,0
binarytrees,16m,10,7.762587,90456064,win_psapi,90456064,176,22,2894902,162114496,14385,113591,185343,0
binarytrees,16m,11,6.849346,90537984,win_psapi,90537984,176,22,2894902,162114496,12415,105100,169114,0
binarytrees,16m,12,7.305389,90755072,win_psapi,90755072,176,22,2894902,162114496,13512,103353,217973,0
binarytrees,16m,13,7.245739,90517504,win_psapi,90517504,176,22,2894902,162114496,13715,100240,170289,0
binarytrees,16m,14,6.705282,90988544,win_psapi,90988544,176,22,2894902,162114496,11417,101272,186461,0
binarytrees,16m,15,6.416168,90759168,win_psapi,90759168,176,22,2894902,162114496,11315,100383,183957,0
binarytrees,32m,1,4.394160,103919616,win_psapi,103919616,85,14,1414609,79218088,16942,93275,145524,0
binarytrees,32m,2,4.264359,104181760,win_psapi,104181760,85,14,1414609,79218088,16096,94308,146951,0
binarytrees,32m,3,4.405107,103825408,win_psapi,103825408,85,14,1414609,79218088,15995,100920,140593,0
binarytrees,32m,4,4.364053,103825408,win_psapi,103825408,85,14,1414609,79218088,16417,99382,137231,0
binarytrees,32m,5,4.324270,104091648,win_psapi,104091648,85,14,1414609,79218088,14892,92641,150475,0
binarytrees,32m,6,4.444201,103706624,win_psapi,103706624,85,14,1414609,79218088,15687,97099,167998,0
binarytrees,32m,7,4.469523,104235008,win_psapi,104235008,85,14,1414609,79218088,16965,94311,144935,0
binarytrees,32m,8,4.305300,103645184,win_psapi,103645184,85,14,1414609,79218088,16150,89636,140522,0
binarytrees,32m,9,4.400801,103829504,win_psapi,103829504,85,14,1414609,79218088,16087,95239,168984,0
binarytrees,32m,10,4.344699,104071168,win_psapi,104071168,85,14,1414609,79218088,16466,91890,161177,0
binarytrees,32m,11,4.561043,103911424,win_psapi,103911424,85,14,1414609,79218088,16792,113257,160178,0
binarytrees,32m,12,4.396820,104058880,win_psapi,104058880,85,14,1414609,79218088,16253,99895,145053,0
binarytrees,32m,13,4.802566,103477248,win_psapi,103477248,85,14,1414609,79218088,16395,135920,203075,0
binarytrees,32m,14,4.328577,105213952,win_psapi,105213952,85,14,1414609,79218088,16546,94742,141827,0
binarytrees,32m,15,4.962919,104075264,win_psapi,104075264,85,14,1414609,79218088,17765,116934,208246,0
binarytrees,64m,1,3.221997,147058688,win_psapi,147058688,40,10,823504,46116208,17593,81427,196517,0
binarytrees,64m,2,3.079102,147423232,win_psapi,147423232,40,10,823504,46116208,16898,79996,178294,0
binarytrees,64m,3,3.080776,147505152,win_psapi,147505152,40,10,823504,46116208,18734,77914,177559,0
binarytrees,64m,4,3.069825,147222528,win_psapi,147222528,40,10,823504,46116208,17268,77337,205132,0
binarytrees,64m,5,3.374022,146923520,win_psapi,146923520,40,10,823504,46116208,19652,97188,259006,0
binarytrees,64m,6,3.158787,147161088,win_psapi,147161088,40,10,823504,46116208,17843,85985,198833,0
binarytrees,64m,7,3.251976,147296256,win_psapi,147296256,40,10,823504,46116208,18496,85578,230219,0
binarytrees,64m,8,3.597780,147148800,win_psapi,147148800,40,10,823504,46116208,19676,113973,240471,0
