language,benchmark,run,time_seconds
python3,nbody,1,13.586
python3,nbody,2,13.595
python3,nbody,3,14.968
python3,binarytrees,1,3.435
python3,binarytrees,2,3.461
python3,binarytrees,3,3.525
python3,spectralnorm,1,16.638
python3,spectralnorm,2,17.125
python3,spectralnorm,3,16.744
python3,fannkuchredux,1,31.270
python3,fannkuchredux,2,31.301
python3,fannkuchredux,3,31.972
ruby,nbody,1,20.637
ruby,nbody,2,21.129
ruby,nbody,3,20.678
ruby,binarytrees,1,3.550
ruby,binarytrees,2,3.518
ruby,binarytrees,3,3.560
ruby,spectralnorm,1,11.338
ruby,spectralnorm,2,11.296
ruby,spectralnorm,3,11.572
ruby,fannkuchredux,1,86.297
ruby,fannkuchredux,2,85.970
ruby,fannkuchredux,3,86.688
luajit,nbody,1,.434
luajit,nbody,2,.434
luajit,nbody,3,.437
luajit,binarytrees,1,3.466
luajit,binarytrees,2,3.425
luajit,binarytrees,3,3.786
luajit,spectralnorm,1,.150
luajit,spectralnorm,2,.151
luajit,spectralnorm,3,.155
luajit,fannkuchredux,1,9.326
luajit,fannkuchredux,2,9.046
luajit,fannkuchredux,3,9.138
