75-76,18-75
2-54,1-50
82-83,78-82
13-37,37-75
79-80,2-80
29-90,30-89
13-16,12-15
20-93,20-94
90-95,33-90
16-77,76-92
42-52,15-52
6-34,9-89
13-77,12-76
18-81,17-81
2-34,2-33
17-92,20-93
24-89,7-11
6-49,27-49
17-69,16-69
34-57,35-58
71-76,73-87
69-72,70-72
30-70,29-69
48-85,52-84
14-69,13-15
2-61,3-70
17-86,17-85
7-98,8-98
8-93,12-94
16-35,35-49
13-59,13-79
5-95,4-95
2-40,2-39
16-44,22-60
8-26,9-27
48-89,88-91
19-97,18-20
10-81,9-9
3-40,58-73
2-93,92-92
77-83,73-84
7-84,6-6
35-45,38-59
28-79,57-74
52-82,55-83
60-60,9-60
63-86,40-64
44-80,13-26
17-67,19-75
33-69,5-68
5-31,4-54
81-82,64-81
55-92,55-95
28-29,29-82
34-93,33-33
88-95,62-88
64-81,65-81
81-82,64-81
28-94,28-94
9-76,6-75
34-36,35-58
86-89,12-89
29-31,30-31
46-78,83-87
11-77,1-11
27-34,37-68
3-4,4-93
7-89,89-90
18-94,14-16
28-89,10-88
89-91,33-89
17-53,17-52
70-87,70-86
1-33,1-86
67-68,33-67
13-75,14-27
26-73,26-72
28-57,17-19
65-65,3-65
5-92,28-29
2-19,19-81
29-42,29-37
16-70,47-87
5-77,1-2
28-40,28-41
98-98,10-98
11-21,3-74
4-32,5-31
5-98,4-4
23-99,22-97
77-99,82-94
8-91,9-91
1-60,59-93
9-11,10-37
88-88,11-89
71-89,48-70
6-77,6-76
82-91,84-90
7-97,47-96
54-64,54-67
7-34,16-35
5-97,4-97
1-1,3-18
42-51,42-45
69-70,69-80
16-86,16-88
58-59,58-58
56-86,57-57
11-35,10-35
15-20,37-98
4-97,96-98
32-34,32-34
53-66,12-33
65-65,3-66
82-83,9-82
5-59,2-5
74-90,43-91
34-86,35-87
65-91,5-92
7-86,8-87
46-48,47-56
87-92,8-83
21-21,22-54
50-97,50-93
8-74,8-96
45-46,46-57
82-98,34-79
29-62,29-55
15-68,16-69
26-88,37-88
45-78,46-46
60-65,60-61
3-36,36-37
55-84,56-91
7-99,7-97
2-98,1-99
51-89,63-90
4-99,3-99
6-50,6-51
37-98,62-98
38-86,38-39
1-96,1-95
88-90,78-84
44-61,4-45
6-89,89-90
7-93,19-93
56-94,93-97
5-25,13-28
28-35,29-63
62-70,63-76
20-20,21-48
13-48,45-72
13-50,50-89
25-79,25-78
44-74,33-73
87-87,62-87
30-57,54-56
30-64,20-65
4-95,5-96
22-54,13-88
11-11,8-9
66-84,67-83
6-95,7-74
36-84,23-36
18-35,18-35
96-97,42-96
10-11,11-91
9-96,95-98
8-68,8-8
15-18,13-20
37-50,8-98
9-10,10-98
12-93,13-13
6-79,7-79
18-59,18-41
25-52,41-53
6-82,6-80
74-74,6-74
1-98,1-99
51-94,93-98
84-98,5-85
26-35,23-35
45-89,34-88
36-78,37-37
2-11,17-59
20-96,20-97
30-46,13-47
15-86,15-88
30-60,12-29
82-97,12-82
2-2,3-87
60-89,59-87
5-85,6-86
16-84,15-16
10-29,18-73
64-93,65-99
37-60,37-67
2-98,1-96
7-14,8-14
29-64,29-29
34-58,33-58
1-97,2-97
13-20,23-59
64-64,65-76
16-48,6-47
81-90,81-89
76-91,23-40
22-46,21-46
13-74,74-74
34-35,18-34
38-90,37-37
34-61,36-61
41-52,42-42
3-12,3-87
96-97,43-96
97-98,4-96
24-67,40-68
13-31,4-23
27-57,26-26
3-84,84-85
16-94,93-99
16-16,17-74
34-60,2-34
17-98,17-30
45-61,34-40
12-17,11-14
95-95,3-94
48-69,11-68
8-51,50-99
44-80,44-76
4-4,5-94
31-47,30-55
