G,Date,Type,At,Opponent,Conf,SRS, _1,Tm,Opp,OT,W,L,Streak,Arena
1,12/3/1966,REG,,Idaho,Big Sky,-9.48,W,93,77,,1,0,W 1,DU Fieldhouse
2,12/9/1966,REG,@,Brigham Young (9),WAC,7.49,L,64,87,,1,1,L 1,George Albert Smith Field House
3,12/13/1966,REG,@,Oklahoma City,Ind,1.05,L,98,103,,1,2,L 2,Fredrickson Fieldhouse
4,12/15/1966,REG,@,New York University,MCC,-4.17,L,70,76,,1,3,L 3,Alumni Gymnasium
5,12/17/1966,REG,@,St. Bonaventure,Ind,0.84,W,65,58,,2,3,W 1,Reilly Center
6,12/20/1966,REG,,Texas Tech,SWC,-5.13,W,76,62,,3,3,W 2,DU Fieldhouse
7,1/2/1967,REG,@,New Mexico (4),WAC,10.12,L,43,65,,3,4,L 1,University Arena
8,1/7/1967,REG,@,Wyoming,WAC,0.36,W,75,70,,4,4,W 1,War Memorial Fieldhouse
9,1/11/1967,REG,@,Colorado State,Ind,2.83,L,52,56,,4,5,L 1,Moby Arena
10,1/14/1967,REG,,New Mexico (3),WAC,10.12,W,71,66,,5,5,W 1,DU Fieldhouse
11,1/21/1967,REG,@,Air Force,Ind,-6.12,W,100,80,,6,5,W 2,Cadet Gymnasium
12,1/23/1967,REG,,Oklahoma City,Ind,1.05,W,115,99,,7,5,W 3,DU Fieldhouse
13,2/3/1967,REG,@,Stanford,AAWU,2.25,L,58,66,,7,6,L 1,Old Pavilion
14,2/4/1967,REG,@,California,AAWU,3.88,L,58,63,,7,7,L 2,Oakland–Alameda County Coliseum Arena
15,2/6/1967,REG,@,Utah State,Ind,9.27,L,83,97,,7,8,L 3,Nelson Fieldhouse
16,2/9/1967,REG,,Utah State,Ind,9.27,L,81,82,,7,9,L 4,DU Fieldhouse
17,2/11/1967,REG,@,Creighton,Ind,-3.79,L,70,81,,7,10,L 5,Omaha Civic Auditorium
18,2/15/1967,REG,,Air Force,Ind,-6.12,W,75,73,,8,10,W 1,DU Fieldhouse
19,2/18/1967,REG,,Colorado State,Ind,2.83,W,74,67,,9,10,W 2,DU Fieldhouse
20,2/23/1967,REG,,Marquette,Ind,6.45,W,100,87,,10,10,W 3,DU Fieldhouse
21,2/25/1967,REG,,Tulane,Ind,-3.72,L,86,88,,10,11,L 1,DU Fieldhouse
22,3/2/1967,REG,,Wyoming,WAC,0.36,L,62,64,,10,12,L 2,DU Fieldhouse
